date,day_of_week,month,is_weekend,is_holiday,public_holiday_name,university_calendar_status,is_school_in_session,weather,temperature_C,promotion,foot_traffic_index,student_density_index,daily_sales_NGN,transactions_count,avg_order_value_NGN,ramadan,lent
2021-01-01,Friday,1,False,True,New Year's Day,In Session,True,Sunny,28.3,False,68,78,98547,66,1493.14,False,False
2021-01-02,Saturday,1,True,False,,In Session,True,Sunny,30.8,False,63,77,91897,62,1482.21,False,False
2021-01-03,Sunday,1,True,False,,In Session,True,Sunny,29.4,False,81,67,109870,70,1569.57,False,False
2021-01-04,Monday,1,False,False,,In Session,True,Sunny,27.9,False,64,63,86930,57,1525.09,False,False
2021-01-05,Tuesday,1,False,False,,In Session,True,Cloudy,28.5,False,69,73,84555,53,1595.38,False,False
2021-01-06,Wednesday,1,False,False,,In Session,True,Sunny,27.1,False,72,82,99873,66,1513.23,False,False
2021-01-07,Thursday,1,False,False,,In Session,True,Sunny,31.2,False,66,69,80774,50,1615.48,False,False
2021-01-08,Friday,1,False,False,,In Session,True,Sunny,29.4,False,68,68,102397,60,1706.62,False,False
2021-01-09,Saturday,1,True,False,,In Session,True,Cloudy,29.7,False,71,68,112312,76,1477.79,False,False
2021-01-10,Sunday,1,True,False,,In Session,True,Sunny,29.7,False,88,83,120724,71,1700.34,False,False
2021-01-11,Monday,1,False,False,,In Session,True,Sunny,31.5,False,70,82,112402,96,1170.85,False,False
2021-01-12,Tuesday,1,False,False,,In Session,True,Sunny,31.2,False,65,75,96161,76,1265.28,False,False
2021-01-13,Wednesday,1,False,False,,In Session,True,Rainy,29.2,False,44,60,70791,42,1685.5,False,False
2021-01-14,Thursday,1,False,False,,In Session,True,Cloudy,30.5,False,71,75,89835,59,1522.63,False,False
2021-01-15,Friday,1,False,False,,In Session,True,Sunny,31.9,False,66,72,93189,69,1350.57,False,False
2021-01-16,Saturday,1,True,False,,In Session,True,Sunny,29.4,False,77,73,129073,81,1593.49,False,False
2021-01-17,Sunday,1,True,False,,In Session,True,Sunny,30.0,False,67,58,122052,80,1525.65,False,False
2021-01-18,Monday,1,False,False,,In Session,True,Sunny,30.5,False,78,86,111478,78,1429.21,False,False
2021-01-19,Tuesday,1,False,False,,In Session,True,Sunny,32.1,False,67,88,95861,61,1571.49,False,False
2021-01-20,Wednesday,1,False,False,,In Session,True,Cloudy,29.2,True,66,59,95231,58,1641.91,False,False
2021-01-21,Thursday,1,False,False,,In Session,True,Cloudy,30.9,False,58,73,86707,51,1700.14,False,False
2021-01-22,Friday,1,False,False,,In Session,True,Cloudy,28.2,False,57,58,85987,51,1686.02,False,False
2021-01-23,Saturday,1,True,False,,In Session,True,Sunny,31.9,False,72,66,110144,75,1468.59,False,False
2021-01-24,Sunday,1,True,False,,In Session,True,Sunny,30.3,False,71,77,127122,78,1629.77,False,False
2021-01-25,Monday,1,False,False,,In Session,True,Cloudy,31.1,False,67,65,84490,50,1689.8,False,False
2021-01-26,Tuesday,1,False,False,,In Session,True,Cloudy,30.6,False,57,72,82001,57,1438.61,False,False
2021-01-27,Wednesday,1,False,False,,In Session,True,Rainy,31.3,False,56,72,90996,60,1516.6,False,False
2021-01-28,Thursday,1,False,False,,In Session,True,Sunny,34.1,False,65,64,90409,54,1674.24,False,False
2021-01-29,Friday,1,False,False,,In Session,True,Sunny,29.8,False,65,82,85796,57,1505.19,False,False
2021-01-30,Saturday,1,True,False,,In Session,True,Sunny,31.3,False,78,76,105705,67,1577.69,False,False
2021-01-31,Sunday,1,True,False,,In Session,True,Sunny,31.6,False,83,75,125634,93,1350.9,False,False
2021-02-01,Monday,2,False,False,,In Session,True,Cloudy,29.6,False,93,80,115843,67,1729.0,False,False
2021-02-02,Tuesday,2,False,False,,In Session,True,Cloudy,31.3,False,59,76,92285,62,1488.47,False,False
2021-02-03,Wednesday,2,False,False,,In Session,True,Sunny,31.1,False,59,81,94823,55,1724.05,False,False
2021-02-04,Thursday,2,False,False,,In Session,True,Sunny,33.3,False,62,76,100071,64,1563.61,False,False
2021-02-05,Friday,2,False,False,,In Session,True,Sunny,30.0,False,58,54,84902,50,1698.04,False,False
2021-02-06,Saturday,2,True,False,,In Session,True,Sunny,29.8,False,80,91,118772,65,1827.26,False,False
